"T","S","Y","weekend"
2018-04-25,980042,980666,0
2018-04-26,595668,1575710,0
2018-04-27,739908,2315618,0
2018-04-28,666653,2982271,1
2018-04-29,557473,3539744,1
2018-04-30,495787,4035531,0
2018-05-01,717324,4752855,0
2018-05-02,276967,5029822,0
2018-05-03,265430,5295252,0
2018-05-04,419443,5714695,0
2018-05-05,410419,6125114,1
2018-05-06,368812,6493926,1
2018-05-07,516678,7010604,0
2018-05-08,125615,7136219,0
2018-05-09,109370,7245589,0
2018-05-10,101160,7346749,0
2018-05-11,144261,7491010,0
2018-05-12,174243,7665253,1
2018-05-13,145244,7810497,1
2018-05-14,79245,7889742,0
2018-05-15,83822,7973564,0
2018-05-16,47865,8021429,0
2018-05-17,41149,8062578,0
2018-05-18,59412,8121990,0
2018-05-19,64359,8186349,1
2018-05-20,57895,8244244,1
2018-05-21,92626,8336870,0
2018-05-22,45438,8382308,1
2018-05-23,18213,8400521,0
2018-05-24,14346,8414867,0
2018-05-25,19045,8433912,0
2018-05-26,23496,8457408,1
2018-05-27,21072,8478480,1
2018-05-28,12833,8491313,0
2018-05-29,11182,8502495,0
2018-05-30,16391,8518886,0
2018-05-31,10136,8529022,0
2018-06-01,13433,8542455,0
2018-06-02,15516,8557971,1
2018-06-03,13612,8571583,1
2018-06-04,8637,8580220,0
2018-06-05,12503,8592723,0
2018-06-06,3717,8596440,1
2018-06-07,2055,8598495,0
2018-06-08,2241,8600736,0
2018-06-09,2031,8602767,1
2018-06-10,1787,8604554,1
2018-06-11,1954,8606508,0
2018-06-12,2271,8608779,0
2018-06-13,813,8609592,1
2018-06-14,521,8610113,0
2018-06-15,650,8610763,0
2018-06-16,603,8611366,1
2018-06-17,607,8611973,1
2018-06-18,411,8612384,0
2018-06-19,571,8612955,0
2018-06-20,524,8613479,0
2018-06-21,260,8613739,0
2018-06-22,272,8614011,0
2018-06-23,1452,8615463,1
2018-06-24,1387,8616850,1
2018-06-25,1201,8618051,0
2018-06-26,1169,8619220,0
2018-06-27,1193,8620413,0
2018-06-28,867,8621280,0
2018-06-29,1373,8622653,0
2018-06-30,1360,8624013,1
2018-07-01,1167,8625180,1
2018-07-02,1055,8626235,0
2018-07-03,1360,8627595,0
2018-07-04,101,8627696,0
2018-07-05,151,8627847,0
2018-07-06,128,8627975,0
2018-07-07,123,8628098,1
2018-07-08,110,8628208,1
2018-07-09,180,8628388,0
2018-07-10,193,8628581,0
2018-07-11,137,8628718,0
2018-07-12,145,8628863,0
2018-07-13,170,8629033,0
2018-07-14,125,8629158,1
2018-07-15,133,8629291,1
2018-07-16,156,8629447,0
2018-07-17,193,8629640,0
2018-07-18,149,8629789,0
2018-07-19,144,8629933,0
2018-07-20,108,8630041,0
2018-07-21,119,8630160,1
2018-07-22,117,8630277,1
2018-07-23,119,8630396,0
2018-07-24,125,8630521,0
2018-07-25,61,8630582,0
2018-07-26,82,8630664,0
2018-07-27,65,8630729,0
2018-07-28,44,8630773,1
2018-07-29,44,8630817,1
2018-07-30,49,8630866,0
2018-07-31,50,8630916,0
2018-08-01,40,8630956,0
2018-08-02,52,8631008,0
2018-08-03,50,8631058,0
2018-08-04,2,8631060,1
2018-08-05,5,8631065,1
2018-08-06,23,8631088,0
2018-08-07,38,8631126,0
