"T","S","Y","weekend"
2017-12-20,406365,422564,0
2017-12-21,401449,807814,0
2017-12-22,497810,1305624,0
2017-12-23,484186,1789810,1
2017-12-24,634268,2424078,1
2017-12-25,606411,3030489,1
2017-12-26,430026,3460515,0
2017-12-27,495106,3955621,0
2017-12-28,377807,4333428,0
2017-12-29,532755,4866183,0
2017-12-30,454145,5320328,1
2017-12-31,511978,5832306,1
2018-01-01,458326,6290632,1
2018-01-02,294339,6584971,0
2018-01-03,215987,6800958,0
2018-01-04,217032,7017990,0
2018-01-05,268181,7286171,0
2018-01-06,274168,7560339,1
2018-01-07,251118,7811457,1
2018-01-08,174358,7985815,0
2018-01-09,156343,8142158,0
2018-01-10,141824,8283982,0
2018-01-11,123571,8407553,0
2018-01-12,146494,8554047,0
2018-01-13,155148,8709195,1
2018-01-14,144450,8853645,1
2018-01-15,100000,8953645,0
2018-01-16,95401,9049046,0
2018-01-17,71179,9120225,0
2018-01-18,68978,9189203,0
2018-01-19,76062,9265265,0
2018-01-20,74742,9340007,1
2018-01-21,68486,9408493,1
2018-01-22,50149,9458642,0
2018-01-23,49604,9508246,0
2018-01-24,39238,9547484,0
2018-01-25,36900,9584384,0
2018-01-26,42076,9626460,0
2018-01-27,47193,9673653,1
2018-01-28,46866,9720519,1
2018-01-29,34521,9755040,0
2018-01-30,34197,9789237,0
2018-01-31,34634,9823871,0
2018-02-01,19625,9843496,0
2018-02-02,23286,9866782,0
2018-02-03,26189,9892971,1
2018-02-04,24673,9917644,1
2018-02-05,19098,9936742,0
2018-02-06,17177,9953919,0
2018-02-07,17338,9971257,0
2018-02-08,12209,9983466,0
2018-02-09,14392,9997858,0
2018-02-10,14952,10012810,1
2018-02-11,13817,10026627,1
2018-02-12,10415,10037042,0
2018-02-13,11228,10048270,0
2018-02-14,3514,10051784,0
2018-02-15,3566,10055350,1
2018-02-16,5408,10060758,1
2018-02-17,6592,10067350,1
2018-02-18,3935,10071285,1
2018-02-19,3037,10074322,0
2018-02-20,1920,10076242,0
2018-02-21,1568,10077810,0
2018-02-22,806,10078616,0
2018-02-23,695,10079311,0
2018-02-24,637,10079948,1
2018-02-25,638,10080586,1
2018-02-26,629,10081215,0
2018-02-27,709,10081924,0
2018-02-28,48,10081972,0
2018-03-01,61,10082033,1
2018-03-02,27,10082060,0
2018-03-03,30,10082090,1
2018-03-04,39,10082129,1
2018-03-05,31,10082160,0
2018-03-06,31,10082191,0
2018-03-07,20,10082211,0
2018-03-08,17,10082228,0
2018-03-09,14,10082242,0
2018-03-10,10,10082252,1
2018-03-11,4,10082256,1
2018-03-12,7,10082263,0
2018-03-13,7,10082270,0
2018-03-14,11,10082281,0
2018-03-15,3,10082284,0
2018-03-16,1,10082285,0
