"T","S","Y","weekend"
2018-08-22,99411,130332,0
2018-08-23,76677,176088,0
2018-08-24,143132,319220,0
2018-08-25,140056,459276,1
2018-08-26,135625,594901,1
2018-08-27,104231,699132,0
2018-08-28,106742,805874,0
2018-08-29,169737,975611,0
2018-08-30,98606,1074217,0
2018-08-31,130680,1204897,0
2018-09-01,108358,1313255,1
2018-09-02,110524,1423779,1
2018-09-03,70057,1493836,0
2018-09-04,62586,1556422,0
2018-09-05,67900,1624322,0
2018-09-06,51414,1675736,0
2018-09-07,66438,1742174,0
2018-09-08,66133,1808307,1
2018-09-09,61383,1869690,1
2018-09-10,32726,1902416,0
2018-09-11,29693,1932109,0
2018-09-12,22360,1954469,0
2018-09-13,20617,1975086,0
2018-09-14,28626,2003712,0
2018-09-15,31488,2035200,1
2018-09-16,26514,2061714,1
2018-09-17,17581,2079295,0
2018-09-18,16282,2095577,0
2018-09-19,904,2096481,0
2018-09-20,929,2097410,0
2018-09-21,1120,2098530,0
2018-09-22,703,2099233,1
2018-09-23,592,2099825,1
2018-09-24,556,2100381,1
2018-09-25,795,2101176,1
2018-09-26,673,2101849,1
2018-09-27,826,2102675,0
2018-09-28,414,2103089,0
2018-09-29,341,2103430,1
2018-09-30,278,2103708,1
2018-10-01,239,2103947,0
2018-10-02,322,2104269,0
2018-10-03,78,2104347,1
2018-10-04,80,2104427,0
2018-10-05,83,2104510,0
2018-10-06,46,2104556,1
2018-10-07,38,2104594,1
2018-10-08,219,2104813,0
2018-10-09,41,2104854,1
2018-10-10,62,2104916,0
2018-10-11,50,2104966,0
2018-10-12,51,2105017,0
2018-10-13,80,2105097,1
2018-10-14,27,2105124,1
2018-10-15,52,2105176,0
2018-10-16,52,2105228,0
2018-10-17,53,2105281,0
